id,prompt_tokens,completion_tokens,total_tokens
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5225,5373
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4298,4653
GSPC-gemini/gemini-2.5-flash-0.5-7,148,4110,4258
GSPC-gemini/gemini-2.5-flash-0.5-30,355,6516,6871
GSPC-gemini/gemini-2.5-flash-1.0-7,148,8995,9143
GSPC-gemini/gemini-2.5-flash-1.0-30,355,8016,8371
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,21,148
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,4,131
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,5444,5598
RUT-gemini/gemini-2.5-flash-0.0-30,361,4083,4444
RUT-gemini/gemini-2.5-flash-0.5-7,154,6570,6724
RUT-gemini/gemini-2.5-flash-0.5-30,361,4685,5046
RUT-gemini/gemini-2.5-flash-1.0-7,154,4789,4943
RUT-gemini/gemini-2.5-flash-1.0-30,361,8420,8781
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
RUT-gpt-3.5-turbo-0.0-7,135,26,161
RUT-gpt-3.5-turbo-0.0-30,273,4,277
RUT-gpt-3.5-turbo-0.5-7,135,26,161
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,26,161
RUT-gpt-3.5-turbo-1.0-30,273,4,277
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5611,5759
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4415,4770
GSPC-gemini/gemini-2.5-flash-0.5-7,148,4544,4692
GSPC-gemini/gemini-2.5-flash-0.5-30,355,8138,8493
GSPC-gemini/gemini-2.5-flash-1.0-7,148,5770,5918
GSPC-gemini/gemini-2.5-flash-1.0-30,355,6118,6473
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,4,131
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,5331,5485
RUT-gemini/gemini-2.5-flash-0.0-30,361,4380,4741
RUT-gemini/gemini-2.5-flash-0.5-7,154,2998,3152
RUT-gemini/gemini-2.5-flash-0.5-30,361,7185,7546
RUT-gemini/gemini-2.5-flash-1.0-7,154,6643,6797
RUT-gemini/gemini-2.5-flash-1.0-30,361,7094,7455
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
RUT-gpt-3.5-turbo-0.0-7,135,26,161
RUT-gpt-3.5-turbo-0.0-30,273,4,277
RUT-gpt-3.5-turbo-0.5-7,135,26,161
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,26,161
RUT-gpt-3.5-turbo-1.0-30,273,4,277
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5611,5759
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4865,5220
GSPC-gemini/gemini-2.5-flash-0.5-7,148,4801,4949
GSPC-gemini/gemini-2.5-flash-0.5-30,355,8202,8557
GSPC-gemini/gemini-2.5-flash-1.0-7,148,6374,6522
GSPC-gemini/gemini-2.5-flash-1.0-30,355,7457,7812
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,4,131
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,6387,6541
RUT-gemini/gemini-2.5-flash-0.0-30,361,7742,8103
RUT-gemini/gemini-2.5-flash-0.5-7,154,3606,3760
RUT-gemini/gemini-2.5-flash-0.5-30,361,6449,6810
RUT-gemini/gemini-2.5-flash-1.0-7,154,4214,4368
RUT-gemini/gemini-2.5-flash-1.0-30,361,6351,6712
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
RUT-gpt-3.5-turbo-0.0-7,135,26,161
RUT-gpt-3.5-turbo-0.0-30,273,4,277
RUT-gpt-3.5-turbo-0.5-7,135,26,161
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,26,161
RUT-gpt-3.5-turbo-1.0-30,273,4,277
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5014,5162
GSPC-gemini/gemini-2.5-flash-0.0-30,355,8412,8767
GSPC-gemini/gemini-2.5-flash-0.5-7,148,5779,5927
GSPC-gemini/gemini-2.5-flash-0.5-30,355,9560,9915
GSPC-gemini/gemini-2.5-flash-1.0-7,148,5404,5552
GSPC-gemini/gemini-2.5-flash-1.0-30,355,6772,7127
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,4,131
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,4334,4488
RUT-gemini/gemini-2.5-flash-0.0-30,361,4544,4905
RUT-gemini/gemini-2.5-flash-0.5-7,154,3752,3906
RUT-gemini/gemini-2.5-flash-0.5-30,361,9320,9681
RUT-gemini/gemini-2.5-flash-1.0-7,154,4770,4924
RUT-gemini/gemini-2.5-flash-1.0-30,361,9095,9456
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
RUT-gpt-3.5-turbo-0.0-7,135,26,161
RUT-gpt-3.5-turbo-0.0-30,273,4,277
RUT-gpt-3.5-turbo-0.5-7,135,26,161
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,33,168
RUT-gpt-3.5-turbo-1.0-30,273,4,277
GSPC-gemini/gemini-2.5-flash-0.0-7,148,3154,3302
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4061,4416
GSPC-gemini/gemini-2.5-flash-0.5-7,148,4817,4965
GSPC-gemini/gemini-2.5-flash-0.5-30,355,4237,4592
GSPC-gemini/gemini-2.5-flash-1.0-7,148,2536,2684
GSPC-gemini/gemini-2.5-flash-1.0-30,355,7547,7902
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,22,287
GSPC-gpt-3.5-turbo-1.0-7,127,22,149
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.5-7,106,1588,1694
RUT-gemini/gemini-2.5-flash-0.5-30,152,1603,1755
RUT-gemini/gemini-2.5-flash-1.0-7,106,1734,1840
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,105,8,113
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,105,8,113
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,105,8,113
RUT-gpt-3.5-turbo-0.0-7,108,20,128
RUT-gpt-3.5-turbo-0.0-30,154,38,192
RUT-gpt-3.5-turbo-1.0-7,108,38,146
RUT-gpt-3.5-turbo-1.0-30,154,36,190
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5141,5289
GSPC-gemini/gemini-2.5-flash-0.0-30,355,4891,5246
GSPC-gemini/gemini-2.5-flash-0.5-7,148,5318,5466
GSPC-gemini/gemini-2.5-flash-0.5-30,355,7683,8038
GSPC-gemini/gemini-2.5-flash-1.0-7,148,2887,3035
GSPC-gemini/gemini-2.5-flash-1.0-30,355,6354,6709
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-gpt-3.5-turbo-0.0-7,127,22,149
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,4,269
GSPC-gpt-3.5-turbo-1.0-7,127,4,131
GSPC-gpt-3.5-turbo-1.0-30,265,4,269
RUT-gemini/gemini-2.5-flash-0.0-7,154,3998,4152
RUT-gemini/gemini-2.5-flash-0.0-30,361,25717,26078
RUT-gemini/gemini-2.5-flash-0.5-7,154,5124,5278
RUT-gemini/gemini-2.5-flash-0.5-30,361,5591,5952
RUT-gemini/gemini-2.5-flash-1.0-7,154,4046,4200
RUT-gemini/gemini-2.5-flash-1.0-30,361,7573,7934
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,360,8,368
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,360,8,368
RUT-gpt-3.5-turbo-0.0-7,135,26,161
RUT-gpt-3.5-turbo-0.0-30,273,26,299
RUT-gpt-3.5-turbo-0.5-7,135,26,161
RUT-gpt-3.5-turbo-0.5-30,273,4,277
RUT-gpt-3.5-turbo-1.0-7,135,4,139
RUT-gpt-3.5-turbo-1.0-30,273,4,277
